active_pct,session_hours,baseline_cpu_hours,managed_cpu_hours,savings_pct,cpu_active,cpu_save,cpu_off
10,8.0,1632.8,635.6,61.1,204.1,203.0,55.3
20,8.0,1632.8,754.6,53.8,204.1,203.0,55.3
30,8.0,1632.8,873.6,46.5,204.1,203.0,55.3
40,8.0,1632.8,992.7,39.2,204.1,203.0,55.3
50,8.0,1632.8,1111.7,31.9,204.1,203.0,55.3
60,8.0,1632.8,1230.8,24.6,204.1,203.0,55.3
70,8.0,1632.8,1349.8,17.3,204.1,203.0,55.3
80,8.0,1632.8,1468.8,10.0,204.1,203.0,55.3
90,8.0,1632.8,1587.9,2.8,204.1,203.0,55.3
100,8.0,1632.8,1632.8,0.0,204.1,203.0,55.3
