trial,transition,method,latency_ms
1,POWER_SAVE_to_ACTIVE,report_activity,0.0055
1,POWER_OFF_to_ACTIVE,wake(),0.0069
2,POWER_SAVE_to_ACTIVE,report_activity,0.0062
2,POWER_OFF_to_ACTIVE,wake(),0.0058
3,POWER_SAVE_to_ACTIVE,report_activity,0.006
3,POWER_OFF_to_ACTIVE,wake(),0.0072
4,POWER_SAVE_to_ACTIVE,report_activity,0.008
4,POWER_OFF_to_ACTIVE,wake(),0.0046
5,POWER_SAVE_to_ACTIVE,report_activity,0.0039
5,POWER_OFF_to_ACTIVE,wake(),0.004
6,POWER_SAVE_to_ACTIVE,report_activity,0.0057
6,POWER_OFF_to_ACTIVE,wake(),0.0047
7,POWER_SAVE_to_ACTIVE,report_activity,0.0074
7,POWER_OFF_to_ACTIVE,wake(),0.0066
8,POWER_SAVE_to_ACTIVE,report_activity,0.0072
8,POWER_OFF_to_ACTIVE,wake(),0.0069
9,POWER_SAVE_to_ACTIVE,report_activity,0.0046
9,POWER_OFF_to_ACTIVE,wake(),0.007
10,POWER_SAVE_to_ACTIVE,report_activity,0.007
10,POWER_OFF_to_ACTIVE,wake(),0.0072
